amazing 	incredible 	unbelievable 	improbable 	astonishing
anger 	enrage 	infuriate 	arouse 	nettle
angry 	wrathful 	furious 	enraged 	indignant
answer 	reply 	respond 	retort 	acknowledge
ask 	question 	inquire 	query 	interrogate
awful 	dreadful 	terrible 	abominable 	unpleasant
bad 	depraved 	rotten 	contaminated 	sinful
beautiful 	gorgeous 	dazzling 	splendid 	magnificent
begin 	start 	open 	launch 	initiate
big 	enormous 	huge 	immense 	gigantic
brave 	courageous 	fearless 	dauntless 	intrepid
break 	fracture 	wreck 	crash 	demolish
bright 	sparkling 	shimmering 	radiant 	vivid
calm 	quiet 	peaceful 	unruffled 	tranquil
come 	approach 	advance 	near 	arrive
cool 	chilly 	cold 	frosty 	frigid
crooked 	bent 	twisted 	zigzag 	hooked
cry 	weep 	wail 	sob 	bawl
cut 	slice 	carve 	cleave 	slit
dangerous 	perilous 	hazardous 	risky 	uncertain
dark 	shadowy 	unlit 	murky 	gloomy
decide 	determine 	settle 	choose 	resolve
definite 	certain 	sure 	positive 	determined
delicious 	savory 	delectable 	appetizing 	luscious
describe 	portray 	characterize 	picture 	narrate
destroy 	ruin 	demolish 	raze 	slay
difference 	disagreement 	inequity 	contrast 	dissimilarity
do 	execute 	enact 	carry out 	finish
dull 	unimaginative 	lifeless 	tedious 	tiresome
eager 	keen 	fervent 	enthusiastic 	involved
end 	stop 	finish 	terminate 	conclude
enjoy 	appreciate 	delight in 	be pleased 	indulge in
explain 	elaborate 	clarify 	define 	interpret
fair 	just 	impartial 	unbiased 	objective
fall 	drop 	descend 	plunge 	topple
false 	fake 	fraudulent 	counterfeit 	spurious
fast 	quick 	rapid 	hasty 	swiftly
fat 	stout 	corpulent 	paunchy 	plump
fear 	fright 	dread 	terror 	alarm
fly 	soar 	hover 	flit 	wing
funny 	humorous 	amusing 	droll 	laughable
get 	acquire 	obtain 	secure 	procure
go 	recede 	depart 	fade 	disappear
good 	excellent 	apt 	marvelous 	qualified
great 	noteworthy 	worthy 	distinguished 	remarkable
gross 	improper 	rude 	coarse 	indecent
happy 	pleased 	contented 	satisfied 	delighted
hate 	despise 	loathe 	detest 	abhor
have 	acquire 	gain 	maintain 	believe
help 	aid 	assist 	succor 	encourage
hide 	conceal 	camouflage 	shroud 	veil
hurry 	hasten 	urge 	accelerate 	bustle
hurt 	damage 	distress 	afflict 	pain
idea 	thought 	concept 	conception 	notion
important 	necessary 	vital 	critical 	indispensable
interesting 	fascinating 	bright 	intelligent 	animated
keep 	hold 	maintain 	sustain 	support
kill 	slay 	execute 	assassinate 	abolish
lazy 	indolent 	slothful 	idle 	inactive
little 	dinky 	puny 	diminutive 	miniature
look 	scrutinize 	inspect 	survey 	study
love 	like 	admire 	esteem 	fancy
make 	design 	fabricate 	manufacture 	produce
mark 	impress 	effect 	trace 	imprint
mischievous 	prankish 	waggish 	impish 	sportive
move 	plod 	go 	creep 	crawl
neat 	trim 	dapper 	natty 	smart
new 	novel 	modern 	current 	recent
old 	aged 	used 	worn 	dilapidated
part 	portion 	section 	fraction 	fragment
place 	space 	area 	spot 	plot
plan 	region 	location 	situation 	position
predicament 	quandary 	dilemma 	plight 	spot
put 	place 	assign 	keep 	establish
quiet 	tranquil 	peaceful 	calm 	restful
right 	correct 	accurate 	factual 	true
run 	race 	sprint 	dash 	rush
say/tell 	recount 	narrate 	explain 	reveal
scared 	panicked 	fearful 	unnerved 	insecure
show 	display 	exhibit 	present 	note
slow 	unhurried 	behind 	tedious 	slack
stop 	cease 	halt 	stay 	pause
story 	tale 	yarn 	account 	narrative
strange 	odd 	peculiar 	unusual 	unfamiliar
take 	hold 	catch 	seize 	grasp
tell 	disclose 	reveal 	show 	expose
think 	consider 	contemplate 	reflect 	mediate
trouble 	distress 	anguish 	anxiety 	wretchedness
true 	accurate 	right 	proper 	precise
ugly 	horrible 	unpleasant 	monstrous 	terrifying
